AltitudeVariation,VehicleSpeedInstantaneous,VehicleSpeedAverage,VehicleSpeedVariance,VehicleSpeedVariation,LongitudinalAcceleration,EngineLoad,EngineCoolantTemperature,ManifoldAbsolutePressure,EngineRPM,MassAirFlow,IntakeAirTemperature,VerticalAcceleration,FuelConsumptionAverage,roadSurface,traffic,drivingStyle
-0.70001221,22.29281998,14.19759869,93.38576704,-1.35107994,0.543,9.411765099,82,103,1632,10.10999966,21,-0.531,17.34122658,SmoothCondition,LowCongestionCondition,EvenPaceStyle
2,122.047554,121.319474,2.396700554,-0.2251816,0.422,67.05882263,83,187,2458,45,19,-0.258,8.46099472,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.2999878,103.1324463,110.0942524,16.59597171,-1.3510742,0.2539,54.90196228,81,159,2113,30.22999954,21,0.2812,8.92436409,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-7.2000122,78.36264038,110.1205224,151.8584781,-1.12590027,1.42,9.411765099,80,107,1530,25.73999977,17,-0.559,7.881323814,SmoothCondition,LowCongestionCondition,EvenPaceStyle
4.8999634,52.91730118,97.91952037,336.579424,-1.57625961,0.9023,19.6078434,82,140,2219,18.71999931,14,-0.215,10.58269024,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.5,53.81801987,39.19257811,227.9355095,0.45035935,-1.29,42.35294342,81,128,2393,23.73999977,16,0.672,13.78986454,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.5,59.22233582,66.47688789,91.67666797,0.90071488,-0.0703,18.4313736,79,128,1876,19.78000069,11,0.2305,17.3507576,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.8999634,27.47196007,39.47029982,244.2571212,-1.35107994,0.1328,0,68,101,1075,10.86999989,10,0.2695,13.81147289,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0,0,6.222473797,200.4795501,0,6.7832,62.35294342,62,102,1173,11.85999966,21,17.3673,20.19914246,SmoothCondition,HighCongestionCondition,EvenPaceStyle
3.29998779,88.4957428,90.37223867,8.120983608,0,-0.1836,0,82,120,2093,23.90999985,14,0.348,11.78154659,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.79998779,55.61945724,40.0745329,298.4023499,-2.02662278,-0.1758,0,82,123,2308,25.93000031,10,0.3398,17.07684517,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.0999756,72.05760193,47.97084428,251.4863771,-0.45035553,0.148,36.86274719,74,131,2292,21.96999931,25,0.2031,15.84496117,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.8999634,114.3914413,115.6074081,18.56390647,0.4503707,0.363,45.49019623,82,144,2291,25.02000046,17,-0.3125,9.699338913,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.69995118,39.40649796,30.38053395,132.628565,-0.45036315,-0.625,21.56862831,60,105,1631,16.78000069,20,0.414,19.49767494,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.2000122,40.53239822,53.76922957,52.66739342,-0.22517777,0.3359,25.09803963,78,110,1288,14.76000023,10,0.043,15.97295856,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-2.09997559,31.07483864,42.72415071,173.3147031,1.57625961,1.23,14.11764717,80,115,2175,16.42000008,16,-0.5429,9.615084648,SmoothCondition,LowCongestionCondition,AggressiveStyle
0.2999878,17.78922081,24.53711338,166.6921493,2.47698212,-0.289,0.784313738,81,109,1304,10.86999989,18,0.0469,14.7358551,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.2999878,111.6892776,111.0174896,33.00960923,0,0.422,17.64705849,83,112,2205,15.86999989,15,-0.3789,8.372918129,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.9000244,50.21513748,19.09151049,440.2677248,0.90071869,-1.84,22.35294151,66,115,2184,15.97999954,17,0.664,12.15295792,SmoothCondition,LowCongestionCondition,AggressiveStyle
2.0999756,27.47196007,33.85581222,247.4038747,-0.22517776,0.0468,0,80,110,1734,18.60000038,19,-0.0547,10.26721382,SmoothCondition,LowCongestionCondition,AggressiveStyle
0,0,7.611083746,76.69123222,0,0.3281,30.19607925,80,102,777,7.03000021,12,-0.0977,13.76141834,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.7000122,117.0935974,110.9199113,33.81712133,0.9007263,0.348,54.11764908,84,143,2332,28.28000069,17,0.0391,8.623124123,SmoothCondition,LowCongestionCondition,EvenPaceStyle
6.7999878,85.34321594,88.30808868,6.20533638,0.45036316,-0.168,0,82,136,2052,24.29999924,13,0.258,11.50181007,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-2.800003052,26.12088013,20.42007232,313.5961492,2.02662087,-0.695,13.72549057,82,111,1919,13.18000031,24,0.477,17.47310638,SmoothCondition,LowCongestionCondition,AggressiveStyle
1.5,102.23172,86.71306229,71.38254986,2.70217135,6.6662,100,82,233,2537,58.45000076,18,17.367,16.20794868,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.60003662,25.89570045,23.87658528,283.7904166,-0.67553902,0.328,16.47058868,57,105,1860,12.43999958,19,-0.125,20.76660347,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.60003662,18.46475983,14.01745484,289.9364438,-1.12590027,-0.5078,18.03921509,81,103,1323,8.739999771,19,0.5,14.72076225,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.90002442,67.32881927,83.20775979,179.587873,0,0.1679,0,80,110,2062,21.11000061,17,0.0469,7.548815727,SmoothCondition,LowCongestionCondition,EvenPaceStyle
